bismil بِسْمِ
lAhir اللَّهِ
roHmAnir رَحْمَٰن
roHIm الرَّحِيمِ
ealHamdu الْحَمْدُ
lillAhi لِلَّهِ
robbil رَبِّ
EAlamIn الْعَالَمِينَ
earroHmAnir الرَّحْمَٰنِ
mAliki مَالِكِ
yWmid يَوْمِ
dIn الدِّينِ
eiyyAka إِيَّاكَ
naEbudu نَعْبُدُ
waeiyyAka وَإِيَّاكَ
nastaEIn نَسْتَعِينُ
eihdinAS اهْدِنَا
SirOpol الصِّرَاطَ
mustaqIm الْمُسْتَقِيمَ
SirOpol صِرَاطَ
lacIna الَّذِينَ
eanEamta أَنْعَمْتَ
EalYhim عَلَيْهِمْ
gVril غَيْرِ
magMUbi الْمَغْضُوبِ
walAM وَلَا
MOOOllIn الضَّالِّينَ
ealif ا
lAAAmm ل
mIIIm م
cAlikal ذَٰلِكَ
kitAbu الْكِتَابُ
lA لَا
rVba رَيْبَ
fIhi فِيهِ
hudal هُدًى
lilmuttaqIn لِلْمُتَّقِينَ
eallacIna الَّذِينَ
yueminUna يُؤْمِنُونَ
bilgVbi بِالْغَيْبِ
wayuqImUnaS وَيُقِيمُونَ
SolAta الصَّلَاةَ
wamimmA وَمِمَّا
rozaQnAhum رَزَقْنَاهُمْ
yuNfiqUn يُنْفِقُونَ
wallacIna وَالَّذِينَ
bimAA بِمَا
euNzila أُنْزِلَ
eilYka إِلَيْكَ
wamAA وَمَا
miN مِنْ
qoBlika قَبْلِكَ
wabileAxiroti وَبِالْآخِرَةِ
hum هُمْ
yUqinUn يُوقِنُونَ
eulAAeika أُولَٰئِكَ
EalA عَلَىٰ
hudamm هُدًى
mir مِنْ
robbihim رَبِّهِمْ
waeulAAeika وَأُولَٰئِكَ
humul هُمُ
mufliHUn الْمُفْلِحُونَ
einnal إِنَّ
kafarU كَفَرُوا
sawAAeun سَوَاءٌ
eaeaNcartahum أَأَنْذَرْتَهُمْ
eam أَمْ
lam لَمْ
tuNcirhum تُنْذِرْهُمْ
yueminUn يُؤْمِنُونَ
xotamaL خَتَمَ
LAhu اللَّهُ
qulUbihim قُلُوبِهِمْ
waEalA وَعَلَىٰ
samEihim سَمْعِهِمْ
waEalAA وَعَلَىٰ
eaBSOrihim أَبْصَارِهِمْ
giXAwatuww غِشَاوَةٌ
walahum وَلَهُمْ
EacAbun عَذَابٌ
EaZIm عَظِيمٌ
waminan وَمِنَ
nAsi النَّاسِ
mayy مَنْ
yaqUlu يَقُولُ
eAmannA آمَنَّا
billAhi بِاللَّهِ
wabilyWmil وَبِالْيَوْمِ
eAxiri الْآخِرِ
wamA وَمَا
hummm هُمْ
bimueminIn بِمُؤْمِنِينَ
yuxOdiEUnaL يُخَادِعُونَ
LAha اللَّهَ
eAmanU آمَنُوا
yaxdaEUna يَخْدَعُونَ
eillAA إِلَّا
eaNfusahum أَنْفُسَهُمْ
yaXEurUn يَشْعُرُونَ
fI فِي
qulUbihimm قُلُوبِهِمْ
maroMuN مَرَضٌ
fazAdahumuL فَزَادَهُمُ
maroMoww مَرَضًا
ealImummm أَلِيمٌ
bimA بِمَا
kAnU كَانُوا
yakcibUn يَكْذِبُونَ
waeicA وَإِذَا
qIla قِيلَ
lahum لَهُمْ
tufsidU تُفْسِدُوا
fIl فِي
earMi الْأَرْضِ
qOlUU قَالُوا
einnamA إِنَّمَا
naHnu نَحْنُ
muSliHUn مُصْلِحُونَ
ealAA أَلَا
einnahum إِنَّهُمْ
mufsidUna الْمُفْسِدُونَ
walAkil وَلَٰكِنْ
eAminU آمِنُوا
kamAA كَمَا
eAmanan آمَنَ
nAsu النَّاسُ
eanueminu أَنُؤْمِنُ
eAmanas آمَنَ
sufahAAeu السُّفَهَاءُ
humus هُمُ
yaElamUn يَعْلَمُونَ
laqUl لَقُوا
xolW خَلَوْا
eilA إِلَىٰ
XayApInihim شَيَاطِينِهِمْ
einnA إِنَّا
maEakum مَعَكُمْ
mustahzieUn مُسْتَهْزِئُونَ
eaLAhu اللَّهُ
yastahzieu يَسْتَهْزِئُ
bihim بِهِمْ
wayamudduhum وَيَمُدُّهُمْ
pugyAnihim طُغْيَانِهِمْ
yaEmahUn يَعْمَهُونَ
eulAAeikal أُولَٰئِكَ
XtarowuM اشْتَرَوُا
MolAlata الضَّلَالَةَ
bilhudA بِالْهُدَىٰ
famA فَمَا
robiHat رَبِحَتْ
tijArotuhum تِجَارَتُهُمْ
muhtadIn مُهْتَدِينَ
mavaluhum مَثَلُهُمْ
kamavalil كَمَثَلِ
lacI الَّذِي
stWqoda اسْتَوْقَدَ
nAroN نَارًا
falammAA فَلَمَّا
eaMOOeat أَضَاءَتْ
mA مَا
HWlahU حَوْلَهُ
cahabaL ذَهَبَ
binUrihim بِنُورِهِمْ
watarokahum وَتَرَكَهُمْ
ZulumAtil ظُلُمَاتٍ
yuBSirUn يُبْصِرُونَ
Summummm صُمٌّ
bukmun بُكْمٌ
EumyuN عُمْيٌ
fahum فَهُمْ
yarjiEUn يَرْجِعُونَ
eW أَوْ
kaSoyyibimm كَصَيِّبٍ
minas مِنَ
samAAei السَّمَاءِ
ZulumAtuww ظُلُمَاتٌ
waroEduww وَرَعْدٌ
wabarquyy وَبَرْقٌ
yaJEalUna يَجْعَلُونَ
eaSObiEahum أَصَابِعَهُمْ
fII فِي
eAcAnihimm آذَانِهِمْ
minaS مِنَ
SowAEiqi الصَّوَاعِقِ
Hacarol حَذَرَ
mWti الْمَوْتِ
waLAhu وَاللَّهُ
muHIpummm مُحِيطٌ
bilkAfirIn بِالْكَافِرِينَ
yakAdul يَكَادُ
barqu الْبَرْقُ
yaxpofu يَخْطَفُ
eaBSOrohum أَبْصَارَهُمْ
kullamAA كُلَّمَا
eaMOOea أَضَاءَ
lahumm لَهُمْ
maXW مَشَوْا
waeicAA وَإِذَا
eaZlama أَظْلَمَ
qOmU قَامُوا
walW وَلَوْ
XAAeaL شَاءَ
lacahaba لَذَهَبَ
bisamEihim بِسَمْعِهِمْ
waeaBSOrihim وَأَبْصَارِهِمْ
einnaL إِنَّ
kulli كُلِّ
XYeiN شَيْءٍ
qodIr قَدِيرٌ
yAAeayyuhAn يَاأَيُّهَا
EbudU اعْبُدُوا
robbakumul رَبَّكُمُ
xolaqokum خَلَقَكُمْ
qoBlikum قَبْلِكُمْ
laEallakum لَعَلَّكُمْ
tattaqUn تَتَّقُونَ
eallacI الَّذِي
jaEala جَعَلَ
lakumul لَكُمُ
earMo الْأَرْضَ
firOXaww فِرَاشًا
wassamAAea وَالسَّمَاءَ
binAAeaww بِنَاءً
waeaNzala وَأَنْزَلَ
mAAeaN مَاءً
faeaxroja فَأَخْرَجَ
bihI بِهِ
minav مِنَ
vamarOti الثَّمَرَاتِ
rizqol رِزْقًا
lakum لَكُمْ
falA فَلَا
taJEalU تَجْعَلُوا
eaNdAdaww أَنْدَادًا
waeaNtum وَأَنْتُمْ
taElamUn تَعْلَمُونَ
waeiN وَإِنْ
kuNtum كُنْتُمْ
rVbimm رَيْبٍ
mimmA مِمَّا
nazzalnA نَزَّلْنَا
EabdinA عَبْدِنَا
faetU فَأْتُوا
bisUrotimm بِسُورَةٍ
mimm مِنْ
mivlihI مِثْلِهِ
waDEU وَادْعُوا
XuhadAAeakumm شُهَدَاءَكُمْ
dUnil دُونِ
lAhi اللَّهِ
eiN إِنْ
SOdiqIn صَادِقِينَ
faeil فَإِنْ
tafEalU تَفْعَلُوا
walaN وَلَنْ
fattaqUn فَاتَّقُوا
nArol النَّارَ
latI الَّتِي
waqUduhAn وَقُودُهَا
walHijArotu وَالْحِجَارَةُ
euEiddat أُعِدَّتْ
lilkAfirIn لِلْكَافِرِينَ
wabaXXiril وَبَشِّرِ
waEamilUS وَعَمِلُوا
SOliHAti الصَّالِحَاتِ
eanna أَنَّ
jannAtiN جَنَّاتٍ
taJrI تَجْرِي
taHtihAl تَحْتِهَا
eanhAru الْأَنْهَارُ
kullamA كُلَّمَا
ruziqU رُزِقُوا
minhA مِنْهَا
vamarotir ثَمَرَةٍ
rizqoN رِزْقًا
qOlU قَالُوا
hAcAl هَٰذَا
ruziQnA رُزِقْنَا
qoBlu قَبْلُ
waeutU وَأُتُوا
mutaXAbihaww مُتَشَابِهًا
fIhAA فِيهَا
eazwAjumm أَزْوَاجٌ
mupohharotuww مُطَهَّرَةٌ
wahum وَهُمْ
fIhA فِيهَا
xOlidUn خَالِدُونَ
yastaHyII يَسْتَحْيِي
eayy أَنْ
yaMriba يَضْرِبَ
mavalamm مَثَلًا
baEUMotaN بَعُوضَةً
fWqohA فَوْقَهَا
faeammAl فَأَمَّا
fayaElamUna فَيَعْلَمُونَ
eannahu أَنَّهُ
lHaqqu الْحَقُّ
waeammAl وَأَمَّا
fayaqUlUna فَيَقُولُونَ
mAcAA مَاذَا
earOdaL أَرَادَ
bihAcA بِهَٰذَا
mavalayy مَثَلًا
yuMillu يُضِلُّ
kavIroww كَثِيرًا
wayahdI وَيَهْدِي
bihII بِهِ
eillAl إِلَّا
fAsiqIn الْفَاسِقِينَ
yaNquMUna يَنْقُضُونَ
EahdaL عَهْدَ
LAhi اللَّهِ
mimmm مِنْ
baEdi بَعْدِ
mIvAqihI مِيثَاقِهِ
wayaqpoEUna وَيَقْطَعُونَ
mAA مَا
eamarol أَمَرَ
lahu اللَّهُ
yUSola يُوصَلَ
wayufsidUna وَيُفْسِدُونَ
xOsirUn الْخَاسِرُونَ
kYfa كَيْفَ
takfurUna تَكْفُرُونَ
wakuNtum وَكُنْتُمْ
eamwAtaN أَمْوَاتًا
faeaHyAkum فَأَحْيَاكُمْ
vumma ثُمَّ
yumItukum يُمِيتُكُمْ
yuHyIkum يُحْيِيكُمْ
eilYhi إِلَيْهِ
turjaEUn تُرْجَعُونَ
huwal هُوَ
xolaqo خَلَقَ
lakumm لَكُمْ
jamIEaN جَمِيعًا
stawAA اسْتَوَىٰ
eilas إِلَى
fasawwAhunna فَسَوَّاهُنَّ
saBEa سَبْعَ
samAwAtiww سَمَاوَاتٍ
wahuwa وَهُوَ
bikulli بِكُلِّ
XYein شَيْءٍ
EalIm عَلِيمٌ
waeic وَإِذْ
qOla قَالَ
robbuka رَبُّكَ
lilmalAAeikati لِلْمَلَائِكَةِ
einnI إِنِّي
jAEiluN جَاعِلٌ
xolIfataN خَلِيفَةً
eataJEalu أَتَجْعَلُ
yufsidu يُفْسِدُ
wayasfikud وَيَسْفِكُ
dimAAea الدِّمَاءَ
wanaHnu وَنَحْنُ
nusabbiHu نُسَبِّحُ
biHamdika بِحَمْدِكَ
wanuqoddisu وَنُقَدِّسُ
laka لَكَ
einnII إِنِّي
