No.,Translation,Transliteration,Arabic
1,The Opening,Al Fatihah ,سورة الفاتحة
2,The Cow,Al Baqarah ,سورة البقرة 
3,The Family of 'Imran,Al 'Imran,سورة آل عمران
4,The Women,"An Nisa"" ",سورة النساء 
5,The Table Spread with Food,"Al Ma""idah ",سورة المائدة
6,The Cattles,Al An'am ,سورة الأنعام 
7,The Heights,Al A'raf ,سورة الأعراف 
8,The Spoils of War,Al Anfal ,سورة الأنفال 
9,The Repentance,At Tawbah ,سورة التوبة 
10,Jonah,Yunus ,سورة يونس 
11,Hud,Hud ,سورة هود 
12,Joseph,Yusuf ,سورة يوسف 
13,The Thunder,Ar Ra'd ,سورة الرّعد 
14,Abraham,Ibrahim ,سورة إبراهيم 
15,The Rocky Tract,Al Hijr ,سورة الحجر 
16,The Bees,An Nahl ,سورة النحل 
17,The Journey by Night,"Al Isra"" ",سورة الإسراء 
18,The Cave,Al Kahf ,سورة الكهف 
19,Mary,Maryam ,سورة مريم 
20,Ta Ha,Ta Ha ,سورة طه 
21,The Prophets,"Al Anbiya"" ",سورة الأنبياء 
22,The Pilgrimage,Al Hajj ,سورة الحج 
23,The Believers,"Al Mu""minun ",سورة المؤمنون 
24,The Light,An Nur ,سورة النّور 
25,The Criterion,Al Furqan ,سورة الفرقان 
26,The Poets,"Ash Shu'ara"" ",سورة الشعراء 
27,The Ants,An Naml ,سورة النمل 
28,The Narration,Al Qasas ,سورة القصص 
29,The Spider,Al 'Ankabut ,سورة العنكبوت 
30,Rome,Ar Rum ,سورة الروم 
31,Luqman,Luqman ,سورة لقمان 
32,The Prostration,As Sajdah ,سورة السجدة 
33,The Confederates,Al Ahzab ,سورة الأحزاب 
34,Sheba,"Saba"" ",سورة سبإ 
35,The Originator of Creation ,Fatir ,سورة فاطر 
36,Ya Sin,Ya Sin ,سورة يس 
37,Those Ranged in Ranks,As Saffat ,سورة الصّافّات 
38,Sad,Sad ,سورة ص 
